,,,,,,,,,,,,MaxLv_preAdjust,,,MaxLv120minConversion,
STATE,DATE,TIME,JDM CODE,PANEL-ID,SERIAL,LINE,POWER ON TIME(min),ETI(h),Integlated AgingTime(min),InternalTemp,Calc EnvTemp,u',v',Lv,u',v',Lv
OK,20201020,131735,NX,YDAS011DNS0101,3735,S3,16,0.5,46,255,237.99196034403,0.193314772746682,0.445334517567083,579.4,0.194063711254843,0.441826965814211,530.500548859902
OK,20201020,132424,NX,YDAS011DNS0101,20780,S3,5,0,5,235,229.595852422847,0.190742063234435,0.449035902096994,614.8,0.192145358704301,0.44340247979957,531.956016462083
OK,20201020,132518,NX,YDAS011DNS0101,20781,S3,3,0,3,230,227.777153166741,0.190948058086282,0.448921883403687,612.1,0.192473656568268,0.442746373135741,523.480807856802
OK,20201020,132619,NX,YDAS011DNS0101,20782,S3,4,0,4,235,231.136149278459,0.1913522569836,0.449101072912975,619.5,0.19268287393856,0.443672954023447,539.413502569946
OK,20201020,132725,NX,YDAS011DNS0101,20783,S3,3,0,3,235,232.777153166741,0.191097691633389,0.450131489237362,616.2,0.19234613973985,0.4449365123097,539.974239363152
OK,20201020,132916,NX,YDAS011DNS0101,20784,S3,3,0,3,230,227.777153166741,0.190746356255502,0.448694121099482,611.6,0.192271954737488,0.442518610831536,523.053197329227
OK,20201020,133050,NX,YDAS011DNS0101,20785,S3,4,0,4,230,226.136149278459,0.191834950041295,0.447442146685884,614,0.193431847246589,0.441059400139172,522.215049832142
OK,20201020,133227,NX,YDAS011DNS0101,20786,S3,5,0,5,235,229.595852422847,0.190355933454137,0.446823164782184,605.5,0.191759228924004,0.441189742484761,523.909186675002
OK,20201020,133332,NX,YDAS011DNS0101,20787,S3,4,0,4,235,231.136149278459,0.191330776467183,0.448295824589333,619.5,0.192661393422142,0.442867705699805,539.413502569946
OK,20201020,133440,NX,YDAS011DNS0101,20788,S3,3,0,3,230,227.777153166741,0.19135225375626,0.448347245409015,596.8,0.192877852238246,0.442171735141069,510.39592571302
OK,20201020,133541,NX,YDAS011DNS0101,20789,S3,3,0,3,230,227.777153166741,0.192610869007947,0.448226416303512,621.7,0.194136467489932,0.442050906035566,531.690929986234
OK,20201020,133646,NX,YDAS011DNS0101,20790,S3,3,0,3,230,227.777153166741,0.191681554824598,0.448940575378604,597.5,0.193207153306584,0.442765065110658,510.994580451624
OK,20201020,133810,NX,YDAS011DNS0101,20791,S3,3,0,3,230,227.777153166741,0.192653637106989,0.448982700293406,622.3,0.194179235588974,0.44280719002546,532.204062619323
OK,20201020,133922,NX,YDAS011DNS0101,20792,S3,3,0,3,230,227.777153166741,0.192127973058304,0.448806567038518,592.3,0.193653571540289,0.442631056770572,506.547430964848
OK,20201020,134028,NX,YDAS011DNS0101,20793,S3,3,0,3,230,227.777153166741,0.193542074363992,0.447578277886497,609.9,0.195067672845978,0.441402767618551,521.599321535474
OK,20201020,134137,NX,YDAS011DNS0101,20794,S3,3,0,3,230,227.777153166741,0.190607780792729,0.448793927186163,599.1,0.192133379274714,0.442618416918217,512.362934139863
OK,20201020,134514,NX,YDAS011DNS0101,20795,S3,5,0,5,240,234.595852422847,0.193041232901338,0.446992106424357,607.8,0.194163507650152,0.442369738083492,539.384097919766
OK,20201020,134624,NX,YDAS011DNS0101,20796,S3,5,0,5,235,229.595852422847,0.191946152953464,0.447545549495184,599.9,0.193349448423331,0.44191212719776,519.063783792459
OK,20201020,134728,NX,YDAS011DNS0101,20797,S3,5,0,5,235,229.595852422847,0.190729312879461,0.448277007666049,599.7,0.192132608349328,0.442643585368626,518.890733689511
OK,20201020,134851,NX,YDAS011DNS0101,20798,S3,3,0,3,230,227.777153166741,0.191037446286065,0.446998158379374,606.8,0.192563044768051,0.440822648111428,518.948136264511
OK,20201020,135002,NX,YDAS011DNS0101,20799,S3,3,0,3,230,227.777153166741,0.192421488479,0.448279796884806,611.1,0.193947086960985,0.44210428661686,522.625586801653
OK,20201020,135144,NX,YDAS011DNS0101,20800,S3,4,0,4,235,231.136149278459,0.193563550015803,0.446896451118801,612.7,0.194894166970763,0.441468332229273,533.492579539316
OK,20201020,135310,NX,YDAS011DNS0101,20801,S3,4,0,4,235,231.136149278459,0.192972736068271,0.447733794209826,601.6,0.194303353023231,0.442305675320298,523.827543415787
OK,20201020,135429,NX,YDAS011DNS0101,20802,S3,4,0,4,230,226.136149278459,0.191088561812428,0.446827749033003,593,0.192685459017722,0.440445002486292,504.35427451215
OK,20201020,135534,NX,YDAS011DNS0101,20803,S3,3,0,3,230,227.777153166741,0.191533377062415,0.449568595791917,594,0.193058975544401,0.443393085523971,508.001306758602
OK,20201020,135648,NX,YDAS011DNS0101,20804,S3,3,0,3,230,227.777153166741,0.19152593791081,0.448149458994843,590.9,0.193051536392796,0.441973948726897,505.35012148764
OK,20201020,135755,NX,YDAS011DNS0101,20805,S3,3,0,3,230,227.777153166741,0.191027263129901,0.448161370651237,617.9,0.192552861611887,0.441985860383291,528.441089976667
OK,20201020,135915,NX,YDAS011DNS0101,20806,S3,3,0,3,230,227.777153166741,0.191985226832425,0.450293072604513,606.9,0.193510825314411,0.444117562336567,519.033658370026
